Provincias;Grupo penal;periodo;Total
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;138
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;114
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;109
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;121
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;94
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;80
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;79
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;56
Alicante/Alacant;AMENAZAS Y COACCIONES;2024;890
Alicante/Alacant;AMENAZAS Y COACCIONES;2023;853
Alicante/Alacant;AMENAZAS Y COACCIONES;2022;713
Alicante/Alacant;AMENAZAS Y COACCIONES;2021;785
Alicante/Alacant;AMENAZAS Y COACCIONES;2020;629
Alicante/Alacant;AMENAZAS Y COACCIONES;2019;538
Alicante/Alacant;AMENAZAS Y COACCIONES;2018;624
Alicante/Alacant;AMENAZAS Y COACCIONES;2017;644
Alicante/Alacant;AMENAZAS Y COACCIONES;2016;583
Alicante/Alacant;AMENAZAS Y COACCIONES;2015;523
Alicante/Alacant;AMENAZAS Y COACCIONES;2014;503
Alicante/Alacant;AMENAZAS Y COACCIONES;2013;417
Alicante/Alacant;AMENAZAS Y COACCIONES;2012;468
Alicante/Alacant;AMENAZAS Y COACCIONES;2011;467
Alicante/Alacant;CONTRA EL HONOR;2024;38
Alicante/Alacant;CONTRA EL HONOR;2023;41
Alicante/Alacant;CONTRA EL HONOR;2022;45
Alicante/Alacant;CONTRA EL HONOR;2021;52
Alicante/Alacant;CONTRA EL HONOR;2020;66
Alicante/Alacant;CONTRA EL HONOR;2019;63
Alicante/Alacant;CONTRA EL HONOR;2018;62
Alicante/Alacant;CONTRA EL HONOR;2017;65
Alicante/Alacant;CONTRA EL HONOR;2016;75
Alicante/Alacant;CONTRA EL HONOR;2015;133
Alicante/Alacant;CONTRA EL HONOR;2014;134
Alicante/Alacant;CONTRA EL HONOR;2013;102
Alicante/Alacant;CONTRA EL HONOR;2012;123
Alicante/Alacant;CONTRA EL HONOR;2011;117
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;20
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;10
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;7
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;6
